khoi	tinh	M1	M2	M3
A	10	2.75	3.75	3.75
A	10	2.75	6.00	3.50
A	10	6	5.50	5.25
A	10	7.25	6.50	7.25
A	10	5	6.50	4.50
A	10	6.75	7.50	8.50
A	10	7.25	7.75	8.75
A	10	7.50	7.25	8.75
A	10	7.75	6.75	7.25
A	10	6.25	7.25	7.25
A	10	6.75	6.25	7.50
A	10	6	6.25	7.50
A	10	6.75	5.75	4.75
A	10	5.50	6.25	6.00
A	10	6.50	5.00	7.75
A	10	6	6.50	5.50
A	10	7.25	6.50	8.50
A	10	6.25	6.25	5.50
A	10	6.25	6.50	7.50
A	10	6.50	6.25	8.00
A	10	6.25	6.50	7.25
A	10	6.25	6.00	7.00
A	10	8	6.50	6.00
A	10	6.50	7.00	7.50
A	10	6.50	6.75	8.75
A	10	7	6.75	8.00
A	10	7.75	6.50	5.75
A	10	7	5.25	4.00
A	10	6.75	6.25	5.00
A	10	0.75	3.75	2.75
A	10	1.50	4.50	2.75
A	10	0	4.25	4.00
A	10	2.25	6.50	7.50
A	10	4	5.00	4.50
A	10	0.75	2.50	3.50
A	10	0	3.00	3.00
A	10	0.25	3.25	2.75
A	10	3.75	5.75	2.50
A	10	3.25	4.50	4.50
A	10	4.50	4.50	3.50
A	10	3.75	5.50	3.50
A	10	2	2.50	3.25
A	10	2.75	5.50	5.50
A	10	6.25	6.50	6.25
A	10	6.25	5.50	8.00
A	10	6.25	5.75	4.75
A	10	2	3.50	3.00
A	10	7.25	6.75	5.50
A	10	0.75	3.50	7.00
A	10	3	3.50	5.50
A	11	7	8.00	8.25
A	11	4	5.00	3.00
A	11	6.25	5.50	5.75
A	11	6.25	6.25	5.50
A	11	4.75	5.25	3.50
A	11	6.75	6.50	6.75
A	11	7.25	6.25	7.25
A	11	6	6.50	5.00
A	11	7	7.50	6.25
A	11	3.50	4.25	4.75
A	12	5.50	6.50	8.75
A	12	4.75	5.00	5.00
A	12	6	7.50	7.50
A	12	3.75	3.50	7.00
A	12	5.75	7.00	8.25
A	12	7.25	6.75	7.00
A	12	4.75	4.50	4.00
A	12	5	6.50	5.75
A	12	7	7.00	6.50
A	12	4.50	5.50	4.75
A	12	5.75	5.00	6.50
A	12	7	6.50	7.00
A	12	8	6.50	7.50
A	12	7.75	8.25	9.50
A	12	7.25	8.25	9.50
A	12	6.25	6.50	6.00
A	12	7.50	5.50	5.25
A	12	7.75	8.50	8.75
A	12	8	6.00	8.00
A	12	7.75	7.00	8.50
A	12	8	7.50	7.50
A	12	7.25	6.75	8.00
A	12	6.75	7.25	8.75
A	12	8.25	8.50	8.25
A	12	6.50	8.25	7.25
A	12	7.25	6.75	7.50
A	12	5.25	5.00	4.75
A	12	7.75	6.75	7.00
A	12	7	5.75	8.00
A	12	7.25	6.25	7.00
A	12	6.75	7.75	7.50
A	12	7.25	6.50	6.50
A	12	5	8.00	5.50
A	12	6.50	7.50	7.75
A	12	8.50	7.00	7.00
A	12	7.25	6.75	8.25
A	12	9	5.75	7.25
A	12	8	4.75	7.00
A	12	8	9.00	8.50
A	12	7.75	7.50	7.25
A	12	7	7.25	7.50
A	12	8.75	7.50	9.25
A	12	6	6.50	7.50
A	12	8.25	6.50	8.25
A	12	6.50	7.50	7.75
A	12	7	7.00	8.00
A	12	7.25	7.75	8.25
A	12	8	7.00	8.75
A	12	8.25	7.00	8.50
A	12	7.50	6.75	8.50
A	12	6.75	5.75	6.50
A	12	0.75	3.50	2.50
A	12	6	7.00	4.00
A	12	6.50	7.50	5.75
A	12	4.25	5.75	4.50
A	12	7.75	6.50	7.00
A	12	7.75	7.50	8.75
A	12	6.25	6.50	6.50
A	12	6.50	7.00	7.50
A	12	7.75	6.00	6.25
A	12	6.25	5.75	7.25
A	12	6.75	5.50	5.75
A	12	5.50	7.50	4.00
A	12	7.75	7.50	7.50
A	12	7.50	6.25	7.25
A	12	4.25	5.75	3.50
A	12	7.50	6.50	7.75
A	12	7.75	7.50	6.25
A	12	7.75	8.25	7.75
A	12	4.50	5.00	4.25
A	12	7.75	7.00	7.50
A	12	3.25	3.50	4.00
A	12	7	7.25	8.50
A	12	2.25	2.75	4.00
A	06	1	2.25	3.75
A	05	6.75	6.50	7.75
A	06	5.25	4.75	2.50
A	06	6.75	6.50	7.50
A	11	4.75	3.75	3.75
A	12	6.25	5.25	6.00
A	17	5.50	5.00	6.50
A	08	6.25	4.50	5.00
A	12	6.75	5.75	6.75
A	12	8	7.00	7.50
A	12	7.25	7.50	7.50
A	12	7.50	6.75	8.25
A	13	6.75	6.75	6.75
A	13	6.50	6.00	7.25
A	13	8	6.50	8.00
A	13	7.50	6.25	7.75
A	13	7	6.75	9.25
A	13	8.75	7.25	8.25
A	13	7.75	6.75	6.25
A	13	7.50	6.00	6.00
A	13	6.50	6.00	7.25
A	13	6.50	4.75	6.50
A	13	7.25	7.25	6.75
A	13	7	5.75	5.50
A	13	6.25	6.25	5.25
A	13	6.25	4.00	5.50
A	13	5.75	5.75	5.25
A	13	1.25	3.75	2.75
A	13	5.50	4.00	6.00
A	13	7	6.25	4.75
A	13	5.50	4.00	5.25
A	13	2.50	5.00	4.75
A	13	0.75	2.25	1.50
A	13	6	6.50	7.50
A	13	2.75	5.50	5.50
A	13	6.25	7.00	6.25
A	13	3	4.00	2.75
A	13	1.25	3.75	2.75
A	13	0	2.00	2.50
A	13	3.25	2.75	3.50
A	13	0	4.00	3.25
A	13	6.25	7.25	7.50
A	13	1.75	2.50	3.50
A	13	6.50	7.00	5.50
A	13	3.25	5.50	3.50
A	14	0.25	3.50	3.00
A	14	7.25	7.00	8.50
A	14	3.50	4.25	3.75
A	14	6	7.00	7.00
A	14	1.25	3.50	2.75
A	14	4	5.50	3.75
A	14	5.75	4.50	5.25
A	14	6.25	6.50	6.50
A	14	9	7.50	8.50
A	14	6.75	6.75	8.25
A	14	5.50	5.25	5.75
A	14	7.75	2.50	8.00
A	14	7.25	7.00	8.50
A	14	2	4.75	2.75
A	14	7.50	6.50	6.50
A	14	6	5.75	5.50
A	14	4.50	5.00	4.50
A	14	1.50	3.00	3.00
A	14	5.75	4.50	4.25
A	14	0.50	3.25	3.50
A	14	6.50	6.50	7.25
A	14	6	6.25	6.75
A	14	0	3.50	2.00
A	14	6	6.25	6.00
A	14	8.50	7.75	8.50
A	14	7.50	5.75	8.25
A	14	6.50	6.50	7.50
A	14	5	5.75	4.00
A	14	1	2.25	3.00
A	14	1.50	3.75	4.50
A	14	0.25	3.50	2.00
A	14	0	3.50	1.00
A	14	1.25	3.50	4.00
A	14	0	2.50	3.25
A	14	4.50	3.50	3.50
A	14	6.75	3.75	5.50
A	14	5.75	4.75	3.50
A	15	7.75	5.75	8.50
A	15	7	6.75	8.25
A	15	6	6.50	7.75
A	15	1.50	4.50	5.00
A	15	6	4.25	7.75
A	62	4.25	5.50	4.00
A	15	5	6.00	6.75
A	15	2.25	4.00	3.75
A	15	7	7.00	8.50
A	15	7.50	5.75	7.00
A	15	6.50	6.50	7.25
A	15	6.25	7.00	7.50
A	15	6.50	7.50	9.50
A	15	8.75	7.00	7.00
A	15	9	6.75	9.25
A	15	5.50	4.50	4.50
A	15	7.75	7.75	8.25
A	15	8.75	7.25	8.50
A	15	6.25	6.50	6.50
A	12	7	5.75	5.50
A	15	7	6.75	6.75
A	16	7.25	6.50	6.50
A	15	6.50	6.50	7.25
A	15	7.75	8.25	9.50
A	15	8.25	6.50	8.00
A	15	7.25	8.00	9.00
A	15	7	7.75	8.50
A	15	8	7.50	8.50
A	15	7.50	7.50	8.25
A	15	6.25	6.75	6.50
A	15	6.50	7.25	7.25
A	15	6.25	5.25	6.50
A	15	7.75	6.50	8.25
A	15	8.50	7.75	8.50
A	15	7.25	6.50	7.50
A	15	6.25	6.25	6.25
A	15	8.75	7.00	9.00
A	15	9	8.25	8.75
A	15	8.50	4.75	5.25
A	15	8.50	7.50	8.25
A	15	8.75	6.75	6.75
A	15	8.75	8.50	8.00
A	15	8.50	8.00	8.50
A	15	4.25	4.00	6.75
A	15	7.25	6.25	6.00
A	15	9	6.25	8.00
A	15	8	6.75	6.75
A	15	9	7.25	8.75
A	15	6.75	6.00	7.50
A	15	3.50	5.00	5.50
A	15	5.50	6.50	7.00
A	15	7.75	7.25	6.25
A	15	8.50	7.25	6.75
A	15	6.50	6.75	7.25
A	15	4.75	5.75	4.75
A	15	4.75	6.00	4.75
A	15	8	7.50	8.25
A	15	6.75	6.00	8.50
A	15	8.50	8.25	9.00
A	15	8	6.25	7.00
A	15	7.75	6.50	7.75
A	15	8.75	8.50	9.50
A	15	8.25	7.75	8.75
A	15	7	6.00	8.25
A	15	1.50	5.50	3.00
A	15	4.50	6.00	7.50
A	15	6.50	7.50	7.25
A	15	5	7.00	8.00
A	15	5.50	5.75	6.00
A	15	9	6.50	6.00
A	15	5	6.50	6.50
A	15	0	3.75	3.25
A	15	6.75	6.50	5.75
A	15	7.75	6.50	6.75
A	15	6.50	7.50	7.50
A	15	7.50	6.25	8.50
A	15	4.50	6.50	6.50
A	15	6.50	5.75	7.50
A	15	6.25	6.25	8.00
A	15	7.75	6.50	7.00
A	15	7.75	6.25	8.50
A	15	8	6.50	5.75
A	15	0	3.50	5.75
A	15	6	6.50	6.00
A	15	6.50	6.00	6.00
A	15	6.50	6.75	3.25
A	15	6.25	6.00	5.50
A	15	7	6.75	8.50
A	15	7.75	7.25	7.50
A	15	8.50	8.25	8.00
A	15	8.50	7.25	7.50
A	15	7.25	7.25	7.25
A	15	4.50	6.00	9.00
A	15	8.75	6.75	5.25
A	15	5.75	6.75	6.50
A	15	5.25	5.00	6.50
A	16	8.25	6.00	8.75
A	16	7.50	6.50	7.50
A	16	5	6.00	4.75
A	16	8	5.75	7.25
A	16	0	5.00	1.75
A	16	6.25	5.75	6.75
A	1A	7.50	8.00	7.50
A	16	8.25	8.25	7.50
A	16	8.75	7.50	9.00
A	16	8	7.00	7.75
A	16	8	8.25	8.00
A	16	7.25	7.25	8.75
A	16	7	8.00	7.25
A	16	7	8.00	6.50
A	16	7.25	7.00	8.50
A	16	8	8.50	9.50
A	16	9	7.75	8.00
A	16	7	5.25	8.75
A	16	6.25	7.50	7.50
A	16	8.50	8.00	9.00
A	16	6.25	7.50	8.25
A	16	6.50	7.50	8.00
A	16	8	6.75	9.25
A	16	3	5.50	7.00
A	16	8	6.75	7.50
A	16	8	7.75	8.25
A	16	7.50	7.50	8.50
A	16	5.50	7.50	7.00
A	16	6.50	8.00	8.75
A	16	8	8.50	9.50
A	16	8.50	8.00	8.25
A	16	8.75	9.25	9.75
A	16	9.50	8.50	9.00
A	16	9	6.75	9.50
A	16	9	9.00	9.75
A	16	8.25	7.50	8.75
A	16	7	7.50	7.25
A	16	8	9.50	9.50
A	16	8	6.50	6.75
A	16	6.25	5.75	6.25
A	16	6.75	7.50	7.50
A	16	6.75	6.25	8.00
A	16	7.25	7.00	8.25
A	16	7.25	7.50	8.50
A	16	8.75	7.25	8.25
A	16	7.25	7.25	7.25
A	16	8	7.75	8.75
A	16	7.50	7.25	6.50
A	16	8.25	5.75	8.50
A	16	8.25	6.00	8.00
A	16	7.50	6.75	6.75
A	16	8.75	8.25	8.00
A	16	8	7.75	9.25
A	16	7.75	7.00	7.00
A	16	8	7.75	8.00
A	16	6.50	6.00	8.50
A	16	8.25	6.50	7.50
A	16	7.25	7.75	7.75
A	16	8	7.50	7.50
A	16	7.75	6.50	8.50
A	16	7.25	7.25	9.25
A	16	5.50	6.00	6.75
A	16	8.25	6.75	8.25
A	16	6.75	7.75	7.50
A	16	5.50	5.50	5.50
A	16	7.50	7.25	7.75
A	16	7.50	7.50	8.50
A	16	8.50	7.50	8.25
A	16	7	6.00	6.25
A	16	8	7.50	8.00
A	16	7.50	7.00	8.50
A	16	7.50	7.00	7.75
A	16	8	7.50	8.00
A	16	9	5.75	7.50
A	16	7.75	6.50	8.50
A	16	6.75	5.75	6.75
A	16	8.75	6.50	6.50
A	16	8	7.50	8.00
A	16	7	8.75	9.25
A	16	8	8.75	9.25
A	16	7.50	7.50	7.75
A	16	4.50	4.75	3.75
A	16	7.50	6.50	8.00
A	16	8	7.50	8.75
A	16	7.75	6.50	7.50
A	16	6.50	7.25	7.75
A	16	7	7.75	8.50
A	16	9	7.25	9.50
A	16	8	5.75	9.25
A	16	8.75	7.25	9.00
A	16	7	6.25	6.50
A	16	6.25	3.50	8.50
A	1B	8.25	6.50	6.75
A	1B	9	7.25	9.25
A	1B	6.50	5.25	6.75
A	16	8	7.50	9.50
A	16	9	7.50	9.00
A	16	7.25	7.25	8.50
A	16	7.50	7.00	8.00
A	16	7.75	7.25	8.25
A	16	7.25	7.25	6.75
A	19	0	3.25	2.50
A	17	7.75	8.50	9.75
A	18	4.25	6.00	5.50
A	18	7	5.50	7.25
A	18	6	5.50	5.25
A	18	5.25	7.50	7.50
A	18	8.50	7.50	7.50
A	18	7.50	7.50	8.25
A	18	7	8.25	8.25
A	18	6.75	8.50	9.00
A	18	7.75	7.00	7.50
A	18	6.75	5.75	7.50
A	18	7.50	7.25	7.25
A	18	6.50	6.50	8.00
A	18	5.25	6.50	6.50
A	18	1	2.50	3.50
A	18	7.50	7.50	7.00
A	18	8.25	7.00	8.50
A	18	0	2.75	2.75
A	18	7.50	6.50	9.50
A	18	7	7.50	7.75
A	18	6	6.50	7.75
A	18	7.25	7.25	8.50
A	18	8	7.50	8.50
A	18	6.75	8.25	8.50
A	18	8	7.50	8.25
A	18	6.50	8.50	9.50
A	18	5.75	5.50	5.00
A	18	7.75	6.50	8.50
A	18	6	7.00	6.75
A	18	5	4.00	4.50
A	18	5.75	4.25	6.25
A	18	1	2.50	2.00
A	18	0	3.00	4.00
A	18	5.75	5.75	6.75
A	18	0	3.00	2.50
A	18	8	7.75	8.50
A	18	8.75	6.50	9.00
A	18	4.50	4.50	3.75
A	18	7.75	7.25	9.50
A	18	7	6.25	6.50
A	18	3.75	5.00	4.50
A	18	4.75	6.50	6.25
A	18	1.75	1.75	3.50
A	18	7.75	6.00	7.25
A	18	6.75	4.75	5.75
A	18	9	7.50	9.50
A	18	6.50	7.00	7.00
A	18	6.25	7.50	7.50
A	18	6	5.75	6.00
A	18	1.75	3.75	3.00
A	18	7.75	6.75	7.50
A	18	7.50	7.50	9.00
A	18	6.50	5.00	7.25
A	18	6.75	6.50	7.75
A	18	8.75	7.00	7.50
A	18	6.25	5.75	6.25
A	18	7	7.25	7.50
A	18	7.50	7.75	7.50
A	18	7.50	6.25	7.75
A	18	7	6.50	6.25
A	18	5.50	4.00	3.75
A	18	7.25	7.00	8.25
A	18	8.25	8.00	7.25
A	18	8.50	6.50	8.75
A	18	7.25	8.50	8.50
A	18	8	6.75	9.25
A	18	7.50	7.75	9.25
A	18	7.75	8.00	8.50
A	18	7.75	8.00	9.50
A	18	8	6.75	8.00
A	18	8.25	6.75	7.75
A	18	8.50	7.00	8.25
A	21	7.25	7.00	7.75
A	18	8.75	6.75	9.00
A	18	8.75	8.50	9.25
A	18	8.50	7.00	9.25
A	18	6.50	5.50	7.50
A	18	8.75	7.50	7.50
A	18	7.75	7.25	8.50
A	18	6.50	6.25	6.50
A	18	7.25	6.50	7.50
A	18	8.75	7.50	9.50
A	18	8.25	8.00	8.50
A	18	8.50	8.25	9.25
A	18	7.75	7.25	9.50
A	18	5.75	2.75	4.75
A	18	6.25	6.50	7.50
A	18	5.75	6.50	7.50
A	18	7	7.00	9.50
A	18	6.50	5.50	5.75
A	18	8.25	5.75	9.00
A	18	6.50	6.75	7.50
A	18	6.75	3.50	7.75
A	18	6.75	6.50	7.00
A	19	7.25	6.50	7.50
A	19	6.25	6.50	5.75
A	19	6.75	7.25	9.00
A	19	6.25	6.50	7.00
A	19	8	4.50	8.50
A	19	5.75	5.00	7.25
A	19	5.25	3.75	5.50
A	19	7.50	7.50	9.00
A	19	8.25	7.75	9.25
A	19	7.25	8.00	9.25
A	19	8.25	7.75	7.25
A	19	8.50	8.50	9.50
A	19	6.75	6.25	7.50
A	19	7.25	6.25	7.75
A	19	8.25	7.50	7.25
A	19	8.25	8.25	9.00
A	19	5.25	8.25	8.50
A	19	8	7.50	8.50
A	19	8.75	7.75	9.50
A	19	8.25	7.50	8.75
A	19	8	6.25	7.50
A	19	8.75	6.75	8.50
A	19	8	7.50	8.50
A	19	8	6.50	6.50
A	19	7.50	6.75	8.00
A	19	7.50	6.50	7.50
A	19	7.75	7.25	9.00
A	19	8.50	7.00	7.00
A	19	8	7.25	8.75
A	19	8.50	7.75	9.00
A	19	7	7.50	8.25
A	19	7.50	7.25	6.25
A	19	6.25	7.25	7.50
A	19	7.50	6.75	7.25
A	19	6.50	7.25	7.50
A	19	8	6.50	8.50
A	19	7	7.75	9.00
A	19	8.50	7.50	9.25
A	19	8.75	8.50	9.75
A	19	7.75	6.50	7.25
A	19	6.75	7.25	8.75
A	19	9	8.50	9.00
A	19	6.75	4.75	4.00
A	19	8.50	6.50	8.25
A	19	7.25	5.75	6.25
A	19	7.25	5.50	7.50
A	19	7.25	6.50	8.25
A	19	2	3.25	5.25
A	19	7.75	6.00	8.25
A	19	4	4.75	4.00
A	19	7.25	5.00	3.75
A	19	7	6.50	7.50
A	19	7	6.25	6.75
A	19	4	5.50	3.50
A	19	6.25	5.50	6.75
A	19	7.50	7.00	8.25
A	19	7.25	5.75	3.00
A	19	7.75	7.00	6.75
A	19	6.25	6.50	9.00
A	19	7.75	7.50	8.00
A	19	7.25	7.50	8.25
A	19	7	6.25	5.50
A	19	8.50	6.00	8.25
A	19	5.25	6.50	5.25
A	19	8.50	6.50	9.00
A	19	7	6.75	7.75
A	19	7.25	7.25	9.00
A	19	8.50	7.50	8.00
A	19	7.75	7.00	8.25
A	19	9	7.50	8.50
A	19	7	7.00	7.75
A	19	7	8.50	9.50
A	19	8	7.75	9.00
A	19	7.50	8.25	8.00
A	19	8	7.25	8.25
A	19	8.50	7.75	9.00
A	19	7.50	6.25	8.50
A	19	8	7.00	7.50
A	19	6.50	6.50	6.00
A	19	6.75	6.75	8.25
A	19	6.25	6.50	3.75
A	19	7.50	7.50	8.50
A	19	8	6.50	8.50
A	19	7.75	8.25	8.75
A	19	5.50	6.75	5.75
A	19	8.75	7.50	8.75
A	19	6	7.75	9.50
A	19	6.75	5.50	5.75
A	19	8	6.50	7.50
A	19	8.25	6.50	8.25
A	19	7	6.25	9.00
A	19	7.50	7.25	8.00
A	19	7.25	7.25	8.25
A	19	7.25	7.50	8.75
A	19	9	8.25	8.75
A	19	8	6.75	8.50
A	19	7.50	6.00	6.00
A	19	7.75	7.50	8.00
A	19	7.50	7.00	7.25
A	19	9	8.00	8.75
A	19	8.50	6.75	9.25
A	19	6.25	5.75	5.00
A	19	6	7.00	7.25
A	19	8.25	6.75	8.50
A	19	9	7.50	7.50
A	19	7.75	6.00	7.50
A	19	7	7.00	8.50
A	19	5.75	6.50	8.00
A	19	7	7.00	7.25
A	19	7.25	7.00	8.00
A	19	9	7.00	9.00
A	19	7.50	7.00	8.00
A	19	8.75	6.50	8.50
A	19	9	7.00	8.50
A	19	9	7.50	9.25
A	19	8	7.25	7.50
A	18	6.50	6.00	6.50
A	19	6.25	5.50	5.25
A	19	7.75	8.00	9.75
A	19	7.25	6.75	6.75
A	19	7.50	6.50	8.00
A	19	7	6.75	8.25
A	19	7.50	5.50	6.75
A	19	8	7.25	9.50
A	19	7.25	6.50	8.25
A	19	8.50	7.00	8.75
A	19	7.75	7.25	8.25
A	19	7.50	7.00	7.25
A	19	8	7.50	7.00
A	19	7.75	8.00	8.50
A	19	7.50	6.50	6.75
A	19	7.75	8.00	9.50
A	19	7.75	7.00	7.75
A	19	6.50	7.25	7.00
A	19	1.25	3.00	3.50
A	19	1.25	5.25	3.50
A	19	0.50	3.25	3.25
A	19	5.25	2.50	3.50
A	21	8	6.50	8.25
A	21	6.50	6.75	6.50
A	21	7.25	6.00	7.00
A	21	6.25	7.00	6.25
A	21	4.50	6.25	5.50
A	21	6.50	6.00	5.75
A	21	7	6.50	6.00
A	21	7.75	7.00	5.50
A	21	7.25	6.75	9.00
A	21	6.25	6.75	7.50
A	21	5.75	6.25	6.75
A	21	6.25	7.50	5.00
A	21	6.75	3.50	6.50
A	21	5.75	6.00	5.50
A	21	7	4.25	5.50
A	21	6.50	5.50	2.75
A	21	6.25	5.50	5.75
A	21	9	5.75	7.75
A	21	6	6.50	5.25
A	21	7.25	6.00	7.00
A	21	5.50	4.50	3.50
A	21	5.50	2.50	4.50
A	21	7	4.00	5.50
A	21	4.50	4.25	3.50
A	21	6.75	3.50	4.50
A	21	2.75	3.25	5.50
A	21	6.25	3.50	3.25
A	21	3.75	5.00	4.50
A	21	7	7.00	7.25
A	21	6.75	5.50	6.50
A	21	1.75	3.50	3.50
A	21	1	2.50	3.25
A	21	7.50	3.75	5.00
A	21	4.75	3.50	5.00
A	21	7.25	3.75	4.50
A	21	6.50	6.50	7.50
A	21	5	6.50	6.50
A	21	6.75	8.25	8.25
A	21	5.50	6.50	7.00
A	21	7	7.25	7.75
A	21	7.75	6.50	8.25
A	21	7.25	7.25	8.00
A	21	7	7.00	7.50
A	21	5	5.50	3.50
A	21	6.50	6.50	7.50
A	21	5.25	6.50	7.75
A	21	8.25	6.75	7.50
A	21	8	7.50	8.75
A	21	7.25	8.00	9.25
A	21	7	6.25	6.75
A	21	5.75	6.75	8.25
A	21	6.50	5.25	8.00
A	21	6.50	6.25	7.50
A	21	6.75	6.00	9.00
A	21	6.50	7.50	9.25
A	21	5.50	6.75	7.50
A	21	6	6.50	7.00
A	21	7	8.00	8.75
A	21	8.50	7.50	8.50
A	21	7.75	6.75	7.50
A	21	7	7.00	9.00
A	21	7.50	7.50	8.50
A	21	6.75	7.25	7.75
A	21	4.50	3.75	3.75
A	21	7.50	7.75	9.75
A	21	9	8.75	10.00
A	21	8	7.75	9.50
A	21	6.25	7.50	7.50
A	21	5.75	7.00	7.50
A	21	8	6.75	7.50
A	21	8.25	7.25	7.25
A	21	6.50	5.75	7.00
A	21	7	7.50	7.50
A	21	6.25	6.25	7.50
A	21	6	6.25	6.00
A	21	7.25	7.25	8.25
A	21	8	6.75	9.25
A	21	5.50	6.75	6.50
A	21	6.75	6.50	5.75
A	21	7.50	4.75	7.50
A	21	6.25	5.25	4.75
A	21	7.25	7.50	6.50
A	21	7.25	7.00	8.75
A	21	7	6.50	4.25
A	21	7.25	6.50	8.25
A	21	6.75	7.50	8.25
A	21	7.75	6.75	7.50
A	21	6	6.25	7.50
A	21	6.50	6.75	7.25
A	21	8.25	6.50	7.00
A	21	7	6.00	5.75
A	21	6.50	5.50	7.50
A	21	8	7.00	9.00
A	21	7.25	7.00	8.75
A	21	3.50	6.50	3.50
A	21	8.25	6.25	6.50
A	21	7	7.25	6.75
A	21	7	7.00	7.00
A	21	6.25	7.50	8.00
A	21	6.50	6.50	6.50
A	21	7	6.50	8.25
A	21	8	6.75	8.25
A	21	7.75	7.25	9.00
A	21	7	5.00	5.75
A	21	6.75	7.00	8.25
A	21	8.25	6.75	7.00
A	21	6.75	6.50	6.75
A	21	7.25	6.50	6.75
A	21	8.25	7.25	8.75
A	21	7	6.25	7.75
A	21	7.75	7.50	8.50
A	21	8	4.50	7.75
A	21	4.75	4.50	4.00
A	21	8.25	7.00	8.50
A	21	7.50	7.25	8.00
A	21	5.50	6.75	8.50
A	21	7.50	6.75	8.25
A	21	7.25	7.00	7.50
A	21	7	8.25	8.50
A	21	7.75	6.50	7.75
A	21	6	6.50	6.50
A	21	7.25	6.50	7.75
A	21	7.75	6.75	8.00
A	21	7.25	7.50	7.00
A	21	8	7.25	6.00
A	21	7	7.25	8.25
A	21	7.25	6.75	7.50
A	21	7	7.50	7.75
A	21	7.25	6.75	6.50
A	21	7.75	6.25	8.00
A	21	7	6.50	6.75
A	21	2.50	5.50	6.25
A	21	8.25	6.50	7.00
A	21	6.50	6.00	6.75
A	21	4.75	5.50	6.00
A	21	6.75	6.00	5.50
A	21	7.50	6.50	8.50
A	21	7.50	6.50	7.25
A	21	6.25	5.75	4.25
A	21	8	6.75	7.25
A	21	8	7.25	7.75
A	21	7.50	6.75	7.50
A	21	9	6.00	7.50
A	21	7	6.50	5.00
A	21	6.25	5.75	4.50
A	21	8.75	5.25	7.50
A	21	7	6.50	5.75
A	21	5	4.50	7.25
A	21	6	6.75	6.25
A	21	6.75	7.50	8.50
A	21	9	6.50	7.00
A	21	7.75	7.00	8.00
A	21	7.50	7.50	7.75
A	21	7.75	6.50	7.75
A	21	7	7.50	8.25
A	21	7.75	6.50	7.75
A	21	7.75	6.75	7.75
A	21	7.75	7.50	8.00
A	21	6.75	6.50	5.75
A	21	7.25	6.50	6.75
